text,true_label,pred_label,negative_probability,positive_probability,confidence,text_length
ends or just ca n't tear himself away from the characters,1,0,0.8929890394210815,0.10701090842485428,0.8929890394210815,57
"may be more genial than ingenious , but it gets the job done",1,0,0.7936751246452332,0.20632484555244446,0.7936751246452332,60
even the bull gets recycled .,1,0,0.9963260293006897,0.003673987230286002,0.9963260293006897,29
could have been much better,0,1,0.010481438599526882,0.9895185828208923,0.9895185828208923,27
never mind all that ; the boobs are fantasti,1,0,0.9844517707824707,0.015548179857432842,0.9844517707824707,44
sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .,0,1,0.09734687209129333,0.9026530981063843,0.9026530981063843,104
its digs at modern society are all things we 've seen before .,0,1,0.0034004482440650463,0.9965996146202087,0.9965996146202087,62
the screenplay or something,1,0,0.9747938513755798,0.0252061914652586,0.9747938513755798,27
"it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker",1,0,0.9853379726409912,0.0146620012819767,0.9853379726409912,107
puzzle his most ardent fans,0,1,0.0034753591753542423,0.9965246319770813,0.9965246319770813,27
increasingly diverse,0,1,0.005071406718343496,0.9949285984039307,0.9949285984039307,20
can fully succeed at cheapening it .,0,1,0.007207962218672037,0.992792010307312,0.992792010307312,36
"it could be a lot better if it were , well , more adventurous .",0,1,0.00416497653350234,0.9958350658416748,0.9958350658416748,63
the payoff,1,0,0.9891021251678467,0.01089779194444418,0.9891021251678467,10
shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls,0,1,0.26044484972953796,0.7395551800727844,0.7395551800727844,90
"the script is high on squaddie banter , low on shocks .",1,0,0.9958431124687195,0.004156897310167551,0.9958431124687195,55
puzzle his most ardent fans .,0,1,0.0032259661238640547,0.9967740178108215,0.9967740178108215,29
its hard to imagine having more fun watching a documentary ...,1,0,0.9806923270225525,0.019307687878608704,0.9806923270225525,62
ideological,1,0,0.9924317598342896,0.00756825739517808,0.9924317598342896,11
it all unfolds predictably,0,1,0.004155283328145742,0.9958447813987732,0.9958447813987732,26
"begins with promise , but runs",0,1,0.423488587141037,0.5765114426612854,0.5765114426612854,30
peculiarly,0,1,0.004137546289712191,0.9958624839782715,0.9958624839782715,10
"have potential as a cult film ,",1,0,0.9344964027404785,0.06550362706184387,0.9344964027404785,31
explode,1,0,0.9866559505462646,0.013344069942831993,0.9866559505462646,7
had all its vital essence scooped,0,1,0.0032748824451118708,0.9967251420021057,0.9967251420021057,33
open-ended questions,1,0,0.9896743893623352,0.010325638577342033,0.9896743893623352,20
two towers outdoes its spectacle .,1,0,0.9957296252250671,0.004270342644304037,0.9957296252250671,34
general family chaos to which anyone can relate,1,0,0.9965864419937134,0.0034135004971176386,0.9965864419937134,47
del,1,0,0.9587977528572083,0.041202250868082047,0.9587977528572083,3
the sentimental cliches mar an otherwise excellent film .,1,0,0.9942759871482849,0.005724061280488968,0.9942759871482849,57
cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .,1,0,0.9932273030281067,0.006772763095796108,0.9932273030281067,114
is the kathie lee gifford of film directors,0,1,0.004096021875739098,0.9959040284156799,0.9959040284156799,43
although estela bravo 's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro,0,1,0.0374375581741333,0.9625623822212219,0.9625623822212219,107
the gags are often a stitch .,1,0,0.9958142638206482,0.004185760859400034,0.9958142638206482,29
a scathing portrayal of a powerful entity strangling the life out,1,0,0.995754599571228,0.004245427902787924,0.995754599571228,65
heady jumble,0,1,0.2869205176830292,0.7130795121192932,0.7130795121192932,12
"gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry",1,0,0.8679728507995605,0.13202713429927826,0.8679728507995605,90
", undisputed scores a direct hit .",1,0,0.9249615669250488,0.0750383511185646,0.9249615669250488,34
"crack you up with her crass , then gasp for gas , verbal deportment",1,0,0.9961631298065186,0.003836887888610363,0.9961631298065186,67
humor and poignancy,1,0,0.8660933971405029,0.13390660285949707,0.8660933971405029,19
the film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .,0,1,0.018832126632332802,0.9811679124832153,0.9811679124832153,186
chase to end all chases,1,0,0.9903683662414551,0.009631632827222347,0.9903683662414551,23
the ` ick ' in ` classic,0,1,0.021968787536025047,0.9780312180519104,0.9780312180519104,24
goddammit,0,1,0.006802820134907961,0.9931972026824951,0.9931972026824951,9
