text,label
better characters,1
a sturdiness and solidity that we 've long associated with washington,1
ill-wrought hypothesis,0
is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .,0
do n't see often enough these days,1
in which the slack execution italicizes the absurdity of the premise,0
"the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear",1
too much exploitation,0
wanderers and a bronx tale,0
damn funny stuff,1
genuinely bone-chilling,1
"retread ,",0
"it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",0
has been awarded mythic status in contemporary culture,1
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0
simple message,1
an ebullient tunisian film about the startling transformation of a tradition-bound widow who is drawn into the exotic world of belly dancing,1
chan 's uniqueness,1
nothing original,0
hopes to camouflage how bad his movie is .,0
sitting open too long,0
"cannon 's confidence and laid-back good spirits are , with the drumming routines , among the film 's saving graces .",1
a wild ride juiced with enough energy and excitement for at least three films .,1
"this is a movie that is what it is : a pleasant distraction , a friday night diversion , an excuse to eat popcorn .",1
in praise of love lacks even the most fragmented charms i have found in almost all of his previous works .,0
already thin story,0
look no further,1
"the three leads produce adequate performances , but",1
sting,0
93 minutes of unrecoverable life,0
"the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability .",0
"is hugely overwritten , with tons and tons of dialogue -- most of it given to children",0
that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence,0
"some very good acting , dialogue ,",1
"no one can doubt the filmmakers ' motives , but the guys still feels counterproductive .",0
lost on the target audience,0
is a masterpiece .,1
"hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb",1
would make it a great piece to watch with kids and use to introduce video as art .,1
as blasphemous and nonsensical as a luis buñuel film,0
extravagant,1
"stale ,",0
do n't bother,0
visually sloppy,0
"whether it 's the worst movie of 2002 , i ca n't say for sure : memories of rollerball have faded , and i skipped country bears",0
marred beyond redemption,0
none of which ever seem to hit,0
undone by howard 's self-conscious attempts,0
that movie nothing,0
overwhelmingly,1
is actually quite entertaining .,1
"a doctor 's office , emergency room , hospital bed or insurance company office",1
an inuit masterpiece,1
"it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time .",0
have not been this disappointed by a movie in a long time .,0
is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory,0
lyne 's stolid remake,1
to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,0
you 're never quite sure where self-promotion ends and the truth begins,0
becomes distasteful and downright creepy,0
