text,label
with vibrance and warmth,1
"stale ,",0
glides gracefully from male persona to female without missing a beat,1
", all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor .",0
"the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self-esteem , and not strictly in the knowledge imparted",1
the first half of sorority boys,1
a bit too much like an infomercial for ram dass 's latest book aimed at the boomer,0
"goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but she and writing partner laurence coriat do n't manage an equally assured narrative coinage .",1
"dull , inconsistent , dishonest",0
"still , the updated dickensian sensibility of writer craig bartlett 's story is appealing .",1
acting like an 8-year-old channeling roberto benigni,0
establishes its ominous mood and tension,1
the grandeur,1
is repeated at least four times .,0
eight legged freaks falls flat as a spoof .,0
add up to more than body count,0
a bloated plot,0
"like many western action films , this thriller is too loud and thoroughly overbearing",0
time frame right,1
a literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed,1
"'s a terrible movie in every regard , and",0
enduring strengths,1
"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",1
it may also be the best sex comedy about environmental pollution ever made .,1
about either the nature of women or,1
poorly written,0
a deserved co-winner,1
minor film,0
", the movie winds up feeling like a great missed opportunity .",0
dominate a family,0
his fake backdrops,0
"ice cube is n't quite out of ripe screwball ideas , but friday after next spreads them pretty thin",0
it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison .,0
thrown every suspenseful cliché in the book,0
funny and human and really,1
exhibits the shallow sensationalism characteristic of soap opera ... more salacious telenovela than serious drama,0
joyous communal festival,1
breezy blend,1
"the most complex , generous and subversive artworks of the last decade",1
feel the wasted potential of this slapstick comedy,0
comes across as lame and sophomoric in this debut indie feature .,0
damn funny stuff,1
descends into such message-mongering moralism,0
deny its seriousness and quality,0
entertained by the unfolding of bielinsky 's,1
obvious as telling a country skunk,0
all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another,0
"slow , uneventful",0
not remotely incisive enough,0
just as endearing and easy,1
"gentle , touching story",1
two bodies and hardly a laugh between them,0
for almost the first two-thirds of martin scorsese 's 168-minute gangs of new york,1
veers like a drunken driver,0
feels as flat as the scruffy sands of its titular community .,0
has some of the funniest jokes of any movie,1
", uncommonly sincere movie that portrays the frank humanity of ... emotional recovery",1
"claire is a terrific role for someone like judd , who really ought to be playing villains .",1
"is not show-stoppingly hilarious , but scathingly witty nonetheless .",1
does n't have anything really interesting to say,0
a dream image,1
no level whatsoever,0
heart-warming,1
that is more accurate than anything i have seen in an american film,1
of loving,1
"is funny , not actually exploiting it yourself",1
stick figures reading lines from a teleprompter,0
"gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner",1
serving sara should be served an eviction notice at every theater stuck with it .,0
turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing/reappearing acts,1
poignant and wryly amusing film,1
"in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run",0
certain sexiness,1
"it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators",1
close to being the barn-burningly bad movie it promised it would be,0
"can just follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity .",0
the strength,1
no apparent reason except,0
dull-witted and disquietingly,0
"béart and berling are both superb , while huppert ... is magnificent .",1
's already a joke in the united states,0
's not wallowing in hormonal melodrama,0
quite enough of them,1
"straightforward , emotionally honest manner",1
one moment,1
entertaining tricks,1
"an interesting topic , some intriguing characters and a sad ending",1
would change the fact that what we have here is a load of clams left in the broiling sun for a good three days,0
achieves near virtuosity in its crapulence,0
he makes you realize that deep inside righteousness can be found a tough beauty .,1
"life affirming and heartbreaking ,",1
favor of tradition and warmth,1
having been recycled more times than i 'd care to count,0
"has been overexposed , redolent of a thousand cliches , and",0
a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,1
"a wry , affectionate delight .",1
is disappointingly generic .,0
be drawn in by the sympathetic characters,1
the film operates nicely off the element of surprise,1
so many explosions,1
pulpy core conceit,0
